,Road,Name,Average Chainage,Start_LRP,End_LRP,Total Cargo,Total People
79,N2,Bhairab (Int.with R360)-Ashuganj (Int.with Z2031),72.05449999999999,LRP069,LRP069,3303.0,7848.0
80,N2,"Ashuganj (Int.with Z2031)-Kathirhat, Sarail (Int.with N102)",79.678,LRP069,LRP086,2875.0,6508.0
81,N2,"Kathirhat, Sarail (Int.with N102)-Sarail (Int.with R220)",86.118,LRP086,LRP086,3004.0,8035.0
82,N2,Sarail (Int.with R220)-Jagadishpur(Int.with N204),101.3535,LRP086,LRP117,3004.0,8035.0
83,N2,Jagadishpur(Int.with N204)-Shaistaganj (Int.with N204),128.8015,LRP117,LRP142,3046.0,5025.0
84,N2,Shaistaganj (Int.with N204)-Mirpur (Int.with N207),143.635,LRP142,LRP146,5090.0,7590.0
85,N2,Mirpur (Int.with N207)-Auskandi (Int.with R240),163.80900000000003,LRP146,LRP182,1860.0,5369.0
86,N2,Auskandi (Int.with R240)-Auskandi (Int.with R241),183.7135,LRP182,LRP186,1860.0,5369.0
87,N2,Auskandi (Int.with R241)-Sherpur (Int.with N207),188.33100000000002,LRP186,LRP191,1494.0,5030.0
88,N2,Sherpur (Int.with N207)-Tajpur(Int.with Z2022),197.9875,LRP191,LRP205,1494.0,5030.0
89,N2,Tajpur(Int.with Z2022)-Rashidpur(Int.with Z2016),210.45749999999998,LRP205,LRP216,1816.0,8998.0
90,N2,Rashidpur(Int.with Z2016)-Int.with R283,219.938,LRP216,LRP224,1816.0,8998.0
91,N2,Int.with R283-Chandipole (Int.with Z2013),224.70850000000002,LRP224,LRP225,1269.0,6365.0
92,N2,Chandipole (Int.with Z2013)-Mominkhola (Int.with N208),226.565,LRP225,LRP226,1269.0,6365.0
93,N2,Mominkhola (Int.with N208)-Nayarpool(Int.with N206),228.8225,LRP226,LRP229,1269.0,6365.0
94,N2,Nayarpool(Int.with N206)-Int. with N210,233.90550000000002,LRP229,LRP238,2251.0,2842.0
95,N2,Int. with N210-Darbast(Int. with Z2011),250.0225,LRP238,LRP263,2251.0,2842.0
96,N2,Darbast(Int. with Z2011)-Tamabil(Int.with N212),272.11,LRP263,LRP282,2210.0,2898.0
97,N2,Tamabil(Int.with N212)-Jaflong,284.307,LRP282,LRP287,2031.0,2712.0
98,N102,Mainamati-Kangsanagar (Intersection with Z1219),5.103,LRPS,LRP009,1737.0,7362.0
99,N102,Kangsanagar (Int with Z1219)-Debidduar (Int with Z1008),15.432,LRP009,LRP018,1737.0,7362.0
100,N102,Debiduar (Int with Z1008)- Companiganj (Int with Z1205),23.0655,LRP018,LRP024,1737.0,7362.0
101,N102,Companiganj (Int with Z1205) - Mirpur (Int with Z1041),32.1695,LRP024,LRP038,1761.0,4285.0
102,N102,Mirpur (Int with Z1041)- Kuti (Int with Z1201),41.6465,LRP038,LRP042,1761.0,4285.0
103,N102,Kuti (Int with Z1201)- Dharkhar (Int with Z1202),50.655,LRP042,LRP055,1761.0,4285.0
104,N102,Dharkhar (Int with Z1202)-Sultanpur (Int with Z1216),59.972,LRP055,LRP062,1761.0,4285.0
105,N102,Sultanpur (Int with Z1216)-Kuatali(Int. with N103),67.2585,LRP062,LRP070,2602.0,8919.0
106,N102,Kuatali(Int. with N103)-Gathuria(Int. with N103),74.3635,LRP070,LRP070,2602.0,8919.0
107,N102,"Gathuria(Int. with N103)-Sarail(Kathihat, int. with N2)",80.32650000000001,LRP070,LRPE,2602.0,8919.0
108,N104,Feni (Trank Road)-Feni (Mohipal Chourasta) Int. with N1,0.939,LRPS,LRPS,1171.0,6628.0
109,N104,Feni (Int. with N1)-Feni (Temohoni)Int.with Z1444,3.114,LRPS,LRP004,1171.0,6628.0
110,N104,Feni (Temohoni)Int.with Z1444-Selonia (Int.with Z1443),6.3325,LRP004,LRP008,1171.0,6628.0
111,N104,Selonia(Int.with Z1443)-Daganbhuiyan (Int.with Z1441),11.562,LRP008,LRP014,1171.0,6628.0
112,N104,Daganbhuiyan (Int.with Z1441)-Tulatali (Int.with Z1030),15.9695,LRP014,LRP017,1313.0,5857.0
113,N104,Tulatali (Int.with Z1030)- Kallandi (Int.with Z1421),20.4765,LRP017,LRP023,1313.0,5857.0
114,N104,Kallandi (Int.with Z1421)- Chowmohoni (Int.with Z1420),28.9715,LRP023,LRP032,1313.0,5857.0
